class_id,part_number,issue,part_name,yolo_class
0,201C_282H_7201_001,A,CONNECTOR_ASSEM,CONNECTOR_ASSEM
1,205P_285H_2400_201,A,BRACKET,BRACKET
2,205P_285H_2610_001,C,DUCT_ASSEMBLY_1,DUCT_ASSEMBLY_1
3,205P_285H_6200_001,A,BRACKET_ASSEMBLY,BRACKET_ASSEMBLY
4,205P_311H_3016_001,B,FRONT_PLATE_ASSEMBLY_RHS,FRONT_PLATE_ASSEMBLY_RHS
5,205P_321H_1720_201,B,TOP_BRACKET_LH,TOP_BRACKET_LH
6,205P_531H_3020_002,A,MIP_SUPPORT_BRACKET,MIP_SUPPORT_BRACKET
7,205P_531H_3155_001,B,STIFFENER_ROTOR_BRAKE,STIFFENER_ROTOR_BRAKE
8,205P_535H_4289_001,A,ANGLE_SUB_ASSEMBLY,ANGLE_SUB_ASSEMBLY
9,205P_551H_1060_002,A,FAIRING_ASSEMBLY_IN_BOARD_FWD_RH,FAIRING_ASSEMBLY_IN_BOARD_FWD_RH
10,205P_551H_1230_006,A,RIB_ASSEMBLY_RH,RIB_ASSEMBLY_RH
11,205P_636H_0000_295,C,BUSH_TIE_ROD_ADAPTOR,BUSH_TIE_ROD_ADAPTOR
12,205P_659H_2020_001,C,OUTLET_DUCT_BOTTOM,OUTLET_DUCT_BOTTOM
13,205P_711H_1000_206,B,BRACKET_BOTTOM_RH,BRACKET_BOTTOM_RH
14,205P_711H_2006_001,A,FLANGED_COVER_ASSEMBLY,FLANGED_COVER_ASSEMBLY
15,205P_711H_2040_001,C,MESH_COVER_PLATE_RHS,MESH_COVER_PLATE_RHS
16,205P_711H_4241_502,A,BRACKET_BASE_RH,BRACKET_BASE_RH
17,205P_711H_4550_005,A,SCOOP_2,SCOOP_2
18,205P_720H_3000_001,A,HAT_FAIRING_BRACKET_ASSEMBLY,HAT_FAIRING_BRACKET_ASSEMBLY
19,205P_795H_7300_005,B,INLET_DUCT,INLET_DUCT
20,205P_551H_1230_007,F,RIB_ASSEMBLY_RH,RIB_ASSEMBLY_RH
21,201C_282H_7201_002,V,CONNECTOR_ASSEM,CONNECTOR_ASSEM
22,201C_282H_7201_001,S,CONNECTOR_ASSEM,CONNECTOR_ASSEM
